 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000000E-008
 steps=      2000000
 x0=   7.0999999999999994E-002   0.3140000000000000      
    3.112040000000000     
 u=    3000.000000000000     
 v_perp=    10000.00000000000     
 
time(s)         r       z        zeta      s
    4.9000000000E-07    6.5898903254E-01   -3.4822879418E-02    3.1140463630E+00    7.0999547903E-02
    9.9000000000E-07    6.5896260447E-01   -3.4402180758E-02    3.1160934300E+00    7.0999088459E-02
    1.4900000000E-06    6.5893660642E-01   -3.3981474955E-02    3.1181402519E+00    7.0998630913E-02
    1.9900000000E-06    6.5891103829E-01   -3.3560762494E-02    3.1201868282E+00    7.0998175265E-02
    2.4900000000E-06    6.5888589996E-01   -3.3140043855E-02    3.1222331585E+00    7.0997721515E-02
    2.9900000000E-06    6.5886119134E-01   -3.2719319521E-02    3.1242792423E+00    7.0997269663E-02
    3.4900000000E-06    6.5883691230E-01   -3.2298589971E-02    3.1263250793E+00    7.0996819709E-02
    3.9900000000E-06    6.5881306275E-01   -3.1877855687E-02    3.1283706690E+00    7.0996371653E-02
    4.4900000000E-06    6.5878964257E-01   -3.1457117147E-02    3.1304160109E+00    7.0995925496E-02
    4.9900000000E-06    6.5876665164E-01   -3.1036374831E-02    3.1324611046E+00    7.0995481237E-02
    5.4900000000E-06    6.5874408987E-01   -3.0615629218E-02    3.1345059498E+00    7.0995038875E-02
    5.9900000000E-06    6.5872195714E-01   -3.0194880786E-02    3.1365505459E+00    7.0994598413E-02
    6.4900000000E-06    6.5870025333E-01   -2.9774130012E-02    3.1385948926E+00    7.0994159848E-02
    6.9900000000E-06    6.5867897835E-01   -2.9353377373E-02    3.1406389894E+00    7.0993723182E-02
    7.4900000000E-06    6.5865813207E-01   -2.8932623347E-02    3.1426828360E+00    7.0993288415E-02
    7.9900000000E-06    6.5863771439E-01   -2.8511868408E-02    3.1447264318E+00    7.0992855546E-02
    8.4900000000E-06    6.5861772520E-01   -2.8091113032E-02    3.1467697766E+00    7.0992424576E-02
    8.9900000000E-06    6.5859816439E-01   -2.7670357694E-02    3.1488128698E+00    7.0991995505E-02
    9.4900000000E-06    6.5857903183E-01   -2.7249602869E-02    3.1508557111E+00    7.0991568333E-02
    9.9900000000E-06    6.5856032744E-01   -2.6828849030E-02    3.1528983000E+00    7.0991143060E-02
    1.0490000000E-05    6.5854205108E-01   -2.6408096652E-02    3.1549406362E+00    7.0990719686E-02
    1.0990000000E-05    6.5852420265E-01   -2.5987346206E-02    3.1569827193E+00    7.0990298212E-02
    1.1490000000E-05    6.5850678204E-01   -2.5566598165E-02    3.1590245488E+00    7.0989878637E-02
    1.1990000000E-05    6.5848978914E-01   -2.5145853002E-02    3.1610661244E+00    7.0989460962E-02
    1.2490000000E-05    6.5847322383E-01   -2.4725111187E-02    3.1631074456E+00    7.0989045186E-02
    1.2990000000E-05    6.5845708600E-01   -2.4304373192E-02    3.1651485121E+00    7.0988631311E-02
    1.3490000000E-05    6.5844137554E-01   -2.3883639488E-02    3.1671893235E+00    7.0988219336E-02
    1.3990000000E-05    6.5842609234E-01   -2.3462910543E-02    3.1692298793E+00    7.0987809261E-02
    1.4490000000E-05    6.5841123629E-01   -2.3042186828E-02    3.1712701793E+00    7.0987401087E-02
    1.4990000000E-05    6.5839680727E-01   -2.2621468813E-02    3.1733102229E+00    7.0986994813E-02
    1.5490000000E-05    6.5838280517E-01   -2.2200756964E-02    3.1753500099E+00    7.0986590440E-02
    1.5990000000E-05    6.5836922988E-01   -2.1780051752E-02    3.1773895399E+00    7.0986187969E-02
